horizon_quarter,experiment,variable,pct_dev
27,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),0.962
28,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.006
29,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.049
30,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.093
31,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.136
32,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.18
33,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.224
34,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.267
35,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.311
36,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.355
37,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.399
38,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.442
39,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.486
40,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.53
41,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.574
42,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.618
43,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.662
44,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.706
45,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.75
46,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.795
47,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.839
48,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.883
49,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.927
50,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),1.972
51,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.016
52,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.061
53,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.105
54,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.15
55,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.194
56,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.239
57,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.283
58,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.328
59,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.373
60,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.418
61,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.462
62,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.507
63,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.552
64,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.597
65,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.642
66,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.687
67,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.732
68,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.777
69,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.822
70,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.868
71,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.913
72,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),2.958
73,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.003
74,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.049
75,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.094
76,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.14
77,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.186
78,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.231
79,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.277
80,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.323
81,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.369
82,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.415
83,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.461
84,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.507
85,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.554
86,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.6
87,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.647
88,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.693
89,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.74
90,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.788
91,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.835
92,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.882
93,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.93
94,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),3.978
95,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.026
96,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.075
97,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.124
98,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.173
99,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.222
100,AE: Infrastructure investment,Output (Y<sup>d</sup><sub>t</sub>),4.272
1,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.308
2,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.717
3,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.646
4,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.562
5,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.48
6,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.405
7,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.336
8,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.274
9,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.219
10,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.17
11,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.128
12,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.091
13,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.059
14,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.033
15,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.011
16,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.006
17,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.018
18,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.026
19,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.03
