year,duration,variable,pct_dev
2032.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.352
2032.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.349
2032.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.345
2032.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.342
2033.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.339
2033.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.336
2033.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.332
2033.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.329
2034.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.326
2034.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.323
2034.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.32
2034.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.317
2035.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.314
2035.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.311
2035.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.308
2035.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.305
2036.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.302
2036.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.299
2036.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.296
2036.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.293
2037.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.29
2025.0,ρ = 0,Consumption (C<sub>t</sub>),0.0
2025.25,ρ = 0,Consumption (C<sub>t</sub>),-0.187
2025.5,ρ = 0,Consumption (C<sub>t</sub>),-0.094
2025.75,ρ = 0,Consumption (C<sub>t</sub>),-0.048
2026.0,ρ = 0,Consumption (C<sub>t</sub>),-0.024
2026.25,ρ = 0,Consumption (C<sub>t</sub>),-0.012
